# Program:featureCounts v1.5.3; Command:"featureCounts" "-s" "1" "-t" "exon" "-g" "gene_name" "-M" "-a" "TetGenomeRef.gtf" "-o" "transcriptome_counts.txt" "/media/pollardlab/POLLARDLAB3/cole_pilot_initial_analysis/step2_alignment/Cole_Pilot_001_S5_R1_001_unique_and_all_MAC.sam" 
Geneid	Chr	Start	End	Strand	Length	/media/pollardlab/POLLARDLAB3/cole_pilot_initial_analysis/step2_alignment/Cole_Pilot_001_S5_R1_001_unique_and_all_MAC.sam
TTHERM_000623100	scf_8254479;scf_8254479	204401;204765	204711;205431	-;-	978	0
TTHERM_000623111	scf_8254479	206565	206945	+	381	0
TTHERM_00624109	scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479	208368;208828;208954;209178;209333	208725;208890;209107;209277;209743	+;+;+;+;+	1086	10
TTHERM_00624110	scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479	211468;212439;213459;214495;214897;215348	212174;213198;214439;214843;215292;215613	+;+;+;+;+;+	3459	24
TTHERM_00624120	scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479	216888;217339;217562;217697;217885;218265;218414;218623;218767;218916;219070;219224;219433;219579;219734;219970;220123	217200;217506;217629;217771;218204;218354;218500;218715;218859;219008;219162;219319;219525;219674;219916;220068;220225	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2163	1
TTHERM_00624129	scf_8254479	221509	223125	+	1617	5
TTHERM_00624130	scf_8254479;scf_8254479;scf_8254479;scf_8254479	223590;224039;224862;225046	223980;224491;224952;225907	-;-;-;-	1797	0
TTHERM_00624140	scf_8254479	226303	227049	+	747	6
TTHERM_00624150	scf_8254479	227571	229184	+	1614	37
TTHERM_00624160	scf_8254479;scf_8254479	230228;230600	230348;231846	+;+	1368	21
TTHERM_00624180	scf_8254479	233186	233965	-	780	0
TTHERM_00624190	scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479	235241;235397;235565;235693;235832;235986;236322;236486;239016;239572;239758;239987	235308;235509;235591;235748;235931;236159;236405;238960;239512;239705;239921;240081	+;+;+;+;+;+;+;+;+;+;+;+	3987	41
TTHERM_00624200	scf_8254479	240516	241649	-	1134	0
TTHERM_00624210	scf_8254479	244057	246606	+	2550	4
TTHERM_00624220	scf_8254479	247788	248732	+	945	0
TTHERM_00624230	scf_8254479	250415	251926	+	1512	10
TTHERM_00624240	scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479	252720;253772;254375;254519;254671;254925;255081;255227	253621;254317;254464;254608;254871;255014;255176;255908	+;+;+;+;+;+;+;+	2697	30
TTHERM_00624250	scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479	256642;256833;256993;257173;257360;257472;257567;258061;258291;258434;258690;258833	256769;256941;257124;257295;257417;257502;257755;258188;258359;258498;258751;258881	-;-;-;-;-;-;-;-;-;-;-;-	1143	0
TTHERM_00624260	scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479	260471;260688;261151;261582;262330;262443;262577;262788;263105;263302;263462	260558;260814;261232;262276;262381;262526;262720;262895;263221;263391;263692	+;+;+;+;+;+;+;+;+;+;+	1818	37
TTHERM_00624270	scf_8254479	264601	265404	+	804	1
TTHERM_00624280	scf_8254479	265830	267143	-	1314	0
TTHERM_00624300	scf_8254479;scf_8254479;scf_8254479;scf_8254479	268480;268622;268763;268939	268523;268701;268880;269014	+;+;+;+	318	0
TTHERM_00624310	scf_8254479	270218	271144	+	927	19
TTHERM_00624320	scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479	271622;271955;272214;272548;272762;272977	271896;272151;272456;272700;272901;273054	-;-;-;-;-;-	1086	0
TTHERM_00624330	scf_8254479;scf_8254479;scf_8254479;scf_8254479	273507;273707;274020;274321	273599;273970;274247;276678	-;-;-;-	2943	0
TTHERM_000624348	scf_8254479	277453	278310	+	858	2
TTHERM_000624349	scf_8254479	281105	281500	+	396	0
TTHERM_00624350	scf_8254479	281621	282031	-	411	0
TTHERM_000624369	scf_8254479;scf_8254479	284928;285037	284963;285678	+;+	678	21
TTHERM_00624370	scf_8254479	286867	287790	+	924	7
TTHERM_00624380	scf_8254479;scf_8254479;scf_8254479	288245;288805;288948	288751;288891;289130	-;-;-	777	0
TTHERM_00624390	scf_8254479	289793	291823	+	2031	1
TTHERM_00624400	scf_8254479;scf_8254479;scf_8254479;scf_8254479	292738;293361;293585;293968	293099;293532;293914;294582	+;+;+;+	1479	0
TTHERM_00624410	scf_8254479	295130	296449	-	1320	0
TTHERM_00624430	scf_8254479;scf_8254479;scf_8254479;scf_8254479	298760;299327;299558;299991	299121;299498;299887;300605	+;+;+;+	1479	111
TTHERM_00624440	scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479	301619;305575;305761;305948;306169	305246;305660;305880;306015;306286	-;-;-;-;-	4020	0
TTHERM_00624450	scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479	308047;308388;310424;310522;314584;315340;315495;316076	308304;309666;310473;314492;315235;315435;316016;316174	+;+;+;+;+;+;+;+	6927	54
TTHERM_000624469	scf_8254479;scf_8254479;scf_8254479	318935;319022;321100	318943;319123;321591	+;+;+	603	20
TTHERM_00624470	scf_8254479	321773	322378	-	606	0
TTHERM_00624479	scf_8254479	323699	324013	+	315	2
TTHERM_000624498	scf_8254479;scf_8254479	324796;325111	325060;325190	-;-	345	0
TTHERM_000624499	scf_8254479	325642	326148	+	507	387
TTHERM_00624500	scf_8254479	329442	329801	-	360	0
TTHERM_00624510	scf_8254479	329952	330326	+	375	18
TTHERM_00624520	scf_8254479	334467	334619	-	153	0
TTHERM_000624529	scf_8254479	336720	337412	-	693	0
TTHERM_00624530	scf_8254479	337587	337901	-	315	0
TTHERM_000624539	scf_8254479;scf_8254479	338714;339125	338963;339510	-;-	636	0
TTHERM_00624540	scf_8254479;scf_8254479;scf_8254479;scf_8254479	340002;341277;343441;347143	341166;341732;343651;347350	+;+;+;+	2040	4
TTHERM_00624550	scf_8254479	349530	350075	+	546	9
TTHERM_00624570	scf_8254479;scf_8254479;scf_8254479;scf_8254479	352872;353730;354768;355154	353625;354622;355095;356109	+;+;+;+	2931	11
TTHERM_00624580	scf_8254479	357699	357929	-	231	0
TTHERM_00624590	scf_8254479;scf_8254479;scf_8254479	358196;358518;358848	358464;358792;360148	+;+;+	1845	29
TTHERM_00624600	scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479	360603;360952;361504;361977;362243;362533;362886;363055;363210;363410	360794;361448;361855;362180;362471;362814;362994;363151;363343;363530	-;-;-;-;-;-;-;-;-;-	2217	0
TTHERM_00624610	scf_8254479;scf_8254479	364519;366371	366306;366874	+;+	2292	4
TTHERM_00624620	scf_8254479	367150	367701	-	552	0
TTHERM_00624630	scf_8254479;scf_8254479;scf_8254479	368381;369149;369583	368926;369504;369685	-;-;-	1005	0
TTHERM_000624648	scf_8254479	371142	371687	+	546	0
TTHERM_000624649	scf_8254479	372322	372459	+	138	0
TTHERM_00624650	scf_8254479	374924	376606	+	1683	12
TTHERM_00624660	scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479	377323;377509;377623;378090;378358;378555	377457;377562;377850;378204;378463;378759	-;-;-;-;-;-	843	0
TTHERM_00624670	scf_8254479;scf_8254479	379026;379997	379936;380402	-;-	1317	0
TTHERM_00624680	scf_8254479	381993	382208	-	216	0
TTHERM_00624690	scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479	383577;383672;383768;383928;384107;384253;384375;384643;384781;385186	383594;383708;383874;384060;384202;384322;384596;384720;384942;385270	+;+;+;+;+;+;+;+;+;+	1008	7
TTHERM_00624700	scf_8254479	386167	386922	-	756	0
TTHERM_00624710	scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479	387525;387716;387878;388286;388585;388807;389896;390161;390391;390540;390685;390966;391248	387662;387822;388236;388514;388738;389844;390099;390328;390475;390602;390842;391137;391267	-;-;-;-;-;-;-;-;-;-;-;-;-	2895	0
TTHERM_00624720	scf_8254479;scf_8254479;scf_8254479;scf_8254479	392568;392821;393376;394169	392742;393290;393795;394288	-;-;-;-	1185	0
TTHERM_00624730	scf_8254479;scf_8254479;scf_8254479	395443;396390;397422	395526;397321;397539	+;+;+	1134	1171
TTHERM_00624740	scf_8254479	398253	398894	-	642	0
TTHERM_00624750	scf_8254479	399534	400889	-	1356	0
TTHERM_00624760	scf_8254479;scf_8254479;scf_8254479	402166;403740;404826	403677;404749;406581	-;-;-	4278	0
TTHERM_00624770	scf_8254479	407407	407643	-	237	0
TTHERM_000624779	scf_8254479	408122	408424	+	303	0
TTHERM_00624780	scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479	408936;409080;409330;409686;410393;410576;410765;410912;411065;411293	409022;409267;409634;410319;410516;410691;410845;410960;411190;411472	-;-;-;-;-;-;-;-;-;-	1890	0
TTHERM_00624790	scf_8254479	412596	413600	-	1005	0
TTHERM_00624800	scf_8254479	416161	419250	-	3090	0
TTHERM_00624810	scf_8254479	422092	424602	-	2511	0
TTHERM_00624820	scf_8254479	426768	428360	+	1593	0
TTHERM_00624830	scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479	429531;429775;430101;430266;430455	429686;429912;430199;430387;430629	+;+;+;+;+	690	5
TTHERM_00624840	scf_8254479;scf_8254479;scf_8254479;scf_8254479	431112;431298;431471;431576	431221;431421;431522;431652	+;+;+;+	363	5
TTHERM_00624850	scf_8254479	432349	433338	-	990	0
TTHERM_00624860	scf_8254479;scf_8254479	434190;434694	434464;435096	+;+	678	20
TTHERM_00624870	scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479	435903;436562;436738;436952;438174;439549	436503;436673;436902;437856;439458;439723	-;-;-;-;-;-	3243	0
TTHERM_00624880	scf_8254479	440252	440842	+	591	1
TTHERM_00624890	scf_8254479	442147	442485	-	339	0
TTHERM_00624900	scf_8254479	443161	443991	+	831	12
TTHERM_000624919	scf_8254479	445763	447181	+	1419	0
TTHERM_00624920	scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479;scf_8254479	448298;448970;449666;449971;450102;450331;450552;451022;451164	448915;449570;449910;450042;450223;450396;450935;451076;451415	-;-;-;-;-;-;-;-;-	2415	0
TTHERM_01347890	scf_8254481;scf_8254481;scf_8254481;scf_8254481	1768;2948;3151;3282	2858;3091;3210;3477	-;-;-;-	1491	0
TTHERM_01347900	scf_8254481;scf_8254481	4709;5610	5521;6020	+;+	1224	4
TTHERM_01347910	scf_8254481;scf_8254481;scf_8254481;scf_8254481;scf_8254481;scf_8254481;scf_8254481;scf_8254481;scf_8254481	6877;7122;7351;7601;8086;8475;9050;9435;9572	6963;7247;7529;7862;8421;8706;9372;9512;10162	+;+;+;+;+;+;+;+;+	2214	12
TTHERM_01347920	scf_8254481	11265	11867	+	603	43
TTHERM_01347930	scf_8254481	14509	16152	-	1644	0
TTHERM_01347940	scf_8254481	21244	26307	+	5064	52
TTHERM_01347950	scf_8254481;scf_8254481;scf_8254481;scf_8254481;scf_8254481;scf_8254481;scf_8254481;scf_8254481;scf_8254481;scf_8254481	32544;34306;34689;34859;35091;35234;35555;35808;35934;36062	34253;34638;34796;35042;35184;35504;35752;35894;36008;36184	-;-;-;-;-;-;-;-;-;-	3183	0
TTHERM_001347941	scf_8254481	27106	32163	+	5058	0
TTHERM_00821780	scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483	770;1653;1976;2384;3306;4140;5195;7002	1594;1919;2326;3255;3858;5024;6944;7078	-;-;-;-;-;-;-;-	5580	0
TTHERM_00821790	scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483	9016;9709;9927;10259;11758;12557;13060;13419;14112;14434;16158;16785;18336;19152;19521;19739;20052;20235;20741;21216;21622;21819	9503;9835;10205;11695;12490;12996;13358;13987;14379;15838;16725;17983;19087;19452;19683;19992;20183;20680;21156;21572;21750;22015	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	10959	220
TTHERM_00821800	scf_8254483	22484	24889	-	2406	0
TTHERM_00821810	scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483	25407;25818;25999;27822;28161;28508;28708;28961;29113	25764;25886;27475;28101;28434;28623;28895;28982;29220	-;-;-;-;-;-;-;-;-	2892	0
TTHERM_00821820	scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483	30270;31015;31137;32029;32790;33130;33482;33651;33965;34045	30918;31080;31795;32717;33069;33400;33597;33838;33986;34185	-;-;-;-;-;-;-;-;-;-	3081	0
TTHERM_00821830	scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483	35289;35772;36045;37682;38101;38498;38889;39156;39267	35712;35837;37398;37961;38371;38613;39076;39177;39422	-;-;-;-;-;-;-;-;-	2877	0
TTHERM_000821832	scf_8254483	41712	42200	+	489	0
TTHERM_000821835	scf_8254483;scf_8254483	44662;44907	44843;45195	-;-	471	0
TTHERM_00821850	scf_8254483;scf_8254483;scf_8254483;scf_8254483	53083;53229;53382;54080	53170;53310;53975;54389	-;-;-;-	1074	0
TTHERM_00821870	scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483	56053;56336;56625;56885;57112;57309	56081;56533;56749;56994;57257;57459	+;+;+;+;+;+	759	32
TTHERM_00821880	scf_8254483;scf_8254483;scf_8254483	58585;58795;58942	58660;58869;59678	-;-;-	888	0
TTHERM_00821890	scf_8254483	60628	62952	+	2325	20
TTHERM_000821891	scf_8254483	66771	67337	+	567	0
TTHERM_00821910	scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483	67800;68144;68494;68768;68968;69092	68081;68434;68690;68877;69029;69307	-;-;-;-;-;-	1158	0
TTHERM_00821920	scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483	70117;70566;70914;71246;71829;72387;72880;73226	70479;70850;71147;71761;72195;72821;73170;73662	+;+;+;+;+;+;+;+	2928	9
TTHERM_00821930	scf_8254483;scf_8254483	74123;74515	74462;74855	+;+	681	3
TTHERM_00821940	scf_8254483;scf_8254483	76184;79013	78516;79745	-;-	3066	0
TTHERM_00821960	scf_8254483;scf_8254483;scf_8254483	81785;84561;85379	84150;85328;85436	-;-;-	3192	0
TTHERM_00821980	scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483	88886;89038;89275;89473;89664;90216;90846;91193;91855;92351;92683;92970;94072;94620;95571;95905;96484;97219;97416;97726;98241;98441;98984;99120;99423;100246;100920;101574;101919;102204;102610;103233;103548	88942;89163;89379;89607;90137;90720;91127;91798;92282;92626;92916;93812;94405;95509;95839;96424;97162;97358;97673;98182;98391;98891;99070;99370;100155;100852;101320;101859;102143;102545;103183;103489;104002	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	12438	142
TTHERM_00822020	scf_8254483	104405	105409	+	1005	1
TTHERM_00822030	scf_8254483	106382	107470	+	1089	4
TTHERM_00822040	scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483	110721;110939;111159;111399;111550;111903;112043;112188;112331;112469;112630;112806;112948;113090;113233;113385;113587;113721;113864	110740;111043;111245;111488;111639;111992;112132;112277;112420;112567;112752;112895;113037;113179;113322;113474;113676;113810;113954	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1695	20
TTHERM_00822050	scf_8254483	115246	117168	-	1923	0
TTHERM_00822060	scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483	119328;119614;120241;120540;121590;122004;122420;122833	119415;120156;120474;120819;121949;122360;122776;123016	+;+;+;+;+;+;+;+	2403	45
TTHERM_000822061	scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483	124659;124738;124901;125201;125544;125843;126180;126508;126856;127203;127546;127889;128213	124687;124778;124931;125290;125633;125932;126269;126597;126945;127292;127635;127978;128321	+;+;+;+;+;+;+;+;+;+;+;+;+	1020	98
TTHERM_000822063	scf_8254483	129858	130691	-	834	0
TTHERM_00822100	scf_8254483;scf_8254483	133282;133534	133410;133914	-;-	510	0
TTHERM_000822109	scf_8254483	135385	135633	-	249	0
TTHERM_00822110	scf_8254483;scf_8254483;scf_8254483	135873;136301;136675	136102;136520;136719	-;-;-	495	0
TTHERM_00822120	scf_8254483	137954	138787	-	834	0
TTHERM_00822140	scf_8254483;scf_8254483;scf_8254483	141342;141645;142013	141413;141942;142035	-;-;-	393	0
TTHERM_00822150	scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483	144955;146072;146619;146953;147453;147710;148409;149241	145982;146561;146886;147396;147629;148332;149015;149581	-;-;-;-;-;-;-;-	3978	0
TTHERM_00822160	scf_8254483;scf_8254483;scf_8254483	151706;153186;153731	152520;153597;154123	-;-;-	1620	0
TTHERM_00822170	scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483	155397;158514;158891;160738;163168;166121;166680	158306;158740;160660;163034;165995;166593;166740	-;-;-;-;-;-;-	10566	0
TTHERM_00822190	scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483	168004;170012;171068;171269;171423;171699;173296;175790;178128;178979;179643	169950;170461;171199;171365;171537;173243;175505;177788;178917;179559;179700	-;-;-;-;-;-;-;-;-;-;-	9924	0
TTHERM_00822200	scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483	182324;182707;183225;183491;184040;184245;184438;184715	182656;183140;183435;183775;184132;184349;184586;184742	-;-;-;-;-;-;-;-	1638	0
TTHERM_00822210	scf_8254483	185890	188106	-	2217	0
TTHERM_00822220	scf_8254483;scf_8254483	188805;190172	190117;192971	-;-	4113	0
TTHERM_00822230	scf_8254483;scf_8254483;scf_8254483;scf_8254483	193803;194134;194672;194821	193988;194604;194764;196893	-;-;-;-	2823	0
TTHERM_00822240	scf_8254483;scf_8254483;scf_8254483	198044;200017;201477	199885;200782;202420	-;-;-	3552	0
TTHERM_00822250	scf_8254483;scf_8254483	203628;204145	203878;204805	+;+	912	5
TTHERM_00822260	scf_8254483	205350	206804	+	1455	10
TTHERM_00822270	scf_8254483	208410	208754	+	345	0
TTHERM_00822280	scf_8254483	209949	210737	-	789	0
TTHERM_00822290	scf_8254483	211374	212162	-	789	0
TTHERM_00822300	scf_8254483	213560	214033	+	474	127
TTHERM_00822330	scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483	217130;217401;218380;218605;218915;220122;220244;220800;221056;221406;221624;221954;222111	217330;218189;218552;218864;219831;220182;220734;221004;221149;221572;221896;222055;222313	+;+;+;+;+;+;+;+;+;+;+;+;+	3936	31
TTHERM_00822340	scf_8254483;scf_8254483;scf_8254483;scf_8254483	223474;223760;223936;224184	223562;223831;224098;224276	-;-;-;-	417	0
TTHERM_00822350	scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483	224986;225197;225361;225728;226528;226894;229434	225093;225304;225601;226476;226680;228857;229530	+;+;+;+;+;+;+	3420	9
TTHERM_00822360	scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483;scf_8254483	229873;230564;230748;230920;231183;231346;231853;232111;232281;232450;232670	230057;230688;230869;231114;231284;231499;231961;232181;232360;232574;232676	-;-;-;-;-;-;-;-;-;-;-	1275	0
TTHERM_00989290	scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485	119;478;831;2792;2913	402;762;1122;2855;3097	+;+;+;+;+	1110	25
TTHERM_000989294	scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485	4117;4478;4706;4874;5584;6040;6306	4431;4651;4814;5147;5981;6174;6913	-;-;-;-;-;-;-	2013	0
TTHERM_00989300	scf_8254485;scf_8254485;scf_8254485	7554;9266;10711	9116;10359;12175	-;-;-	4122	0
TTHERM_00989310	scf_8254485	14041	14391	+	351	3
TTHERM_00989320	scf_8254485	15211	17154	+	1944	0
TTHERM_00989330	scf_8254485	18236	19564	-	1329	0
TTHERM_00989340	scf_8254485	21715	22374	+	660	5
TTHERM_000989341	scf_8254485;scf_8254485	22465;22543	22481;22930	-;-	405	0
TTHERM_000989343	scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485	23476;23910;24037;24149;24333;24726;24899;25121;25312	23856;23984;24100;24267;24434;24833;24994;25248;25570	+;+;+;+;+;+;+;+;+	1332	2
TTHERM_00989350	scf_8254485;scf_8254485	26164;28406	28072;31326	+;+	4830	912
TTHERM_00989370	scf_8254485;scf_8254485;scf_8254485	32973;33239;35185	33168;34474;35264	+;+;+	1512	340
TTHERM_00989380	scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485	36604;37434;38010;39990;44961;45204;45349	37352;37649;39590;43920;45076;45295;45803	+;+;+;+;+;+;+	7140	0
TTHERM_000989381	scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485	46365;46463;46961;47291;47710;48053;48336;48624;48982	46403;46512;47050;47380;47799;48142;48425;48713;49108	+;+;+;+;+;+;+;+;+	756	23
TTHERM_00989400	scf_8254485	50947	51291	-	345	0
TTHERM_00989410	scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485	52743;53886;54115;54740;55024;55150;55433	53824;54068;54674;54946;55098;55382;56575	-;-;-;-;-;-;-	3483	0
TTHERM_00989420	scf_8254485;scf_8254485;scf_8254485	57168;57340;58040	57284;57978;58054	+;+;+	771	6
TTHERM_00989430	scf_8254485	58856	59266	-	411	0
TTHERM_00989440	scf_8254485	63830	66757	+	2928	15
TTHERM_00989450	scf_8254485;scf_8254485	67714;68700	68599;68902	-;-	1089	0
TTHERM_00989460	scf_8254485;scf_8254485;scf_8254485	71920;72180;72400	72093;72334;72502	+;+;+	432	8
TTHERM_00989470	scf_8254485;scf_8254485;scf_8254485	73206;73914;74551	73810;74300;79336	-;-;-	5778	0
TTHERM_000989489	scf_8254485;scf_8254485;scf_8254485;scf_8254485	80451;81281;81701;82052	81223;81647;81742;84271	-;-;-;-	3402	0
TTHERM_00989490	scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485	85273;85636;85832;86165;86625	85582;85767;85975;86569;87100	-;-;-;-;-	1467	0
TTHERM_00989500	scf_8254485;scf_8254485;scf_8254485	90843;90974;91163	90917;91081;91501	+;+;+	522	12
TTHERM_00989510	scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485	92868;93143;93297;93438;94042;94210;94449	93083;93238;93380;93988;94140;94395;94881	-;-;-;-;-;-;-	1665	0
TTHERM_000989520	scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485	96271;96449;96807;97156;97512;97865;98222;98565;98918;99272;99637;99971;100305;100658;101009;101362;101713;102062	96290;96538;96896;97245;97601;97954;98311;98654;99007;99361;99726;100060;100394;100747;101098;101451;101802;102182	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1581	332
TTHERM_00990520	scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485	102406;102571;103255;103561;104122	102431;102984;103493;103860;104132	-;-;-;-;-	990	0
TTHERM_000990530	scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485	106086;106424;106774;107131;107477;107823;108180;108465;108799;109120	106156;106513;106863;107220;107566;107912;108269;108554;108888;109204	+;+;+;+;+;+;+;+;+;+	876	191
TTHERM_00991530	scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485	110081;110444;110691;110966;111228;111418;111590;111906;112209;112436;112662;112929;113300;113407	110312;110533;110780;111055;111317;111507;111679;111995;112298;112525;112751;113018;113349;113442	-;-;-;-;-;-;-;-;-;-;-;-;-;-	1308	0
TTHERM_00991540	scf_8254485	114232	114960	+	729	4
TTHERM_00991550	scf_8254485	115841	122146	+	6306	188
TTHERM_00991560	scf_8254485;scf_8254485	122962;124512	124031;124863	-;-	1422	0
TTHERM_00991570	scf_8254485	125899	126990	-	1092	0
TTHERM_00991580	scf_8254485;scf_8254485	128498;129308	129240;129518	-;-	954	0
TTHERM_00991590	scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485;scf_8254485	129629;129967;130326;130698;131031;131994;132298;133262;133674;134448;134801;135054	129907;130258;130636;130945;131649;132236;133203;133614;134385;134744;134992;135071	+;+;+;+;+;+;+;+;+;+;+;+	4470	23
TTHERM_000991599	scf_8254485	136246	136917	+	672	1
